Date,Item,Value,Label,unit,Note,Category,Color,Size
2018-03-08T12:13:07-05:00,Butter, 1,,,,Nutrition,3,0.5
2018-03-08T13:59:32-05:00,Nonfiction,1,,,OverDrive, Audio,7,.5
2018-03-08T15:56:59-05:00,Meal, 1,,,,Nutrition,1,0.5
2018-03-09T02:25:13-05:00,Steps,6198,,,,Health,5,0.88542857142857142857142857142857142857
2018-03-09T10:59:45-05:00,Sleep,6.1,,hrs,,Health,6,0.87142857142857142857142857142857142857
2018-03-09T11:26:33-05:00,Tortuga,1,,,Pandora, Audio,2,.5
2018-03-09T12:48:01-05:00,Nonfiction,1,,,OverDrive, Audio,7,.5
2018-03-09T17:14:47-05:00,Tortuga,1,,,Pandora, Audio,2,.5
2018-03-09T18:15:57-05:00,Tortuga,1,,,Pandora, Audio,2,.5
2018-03-09T23:51:39-05:00,Water,20,,ounces,,Health,1,1
2018-03-09T23:54:28-05:00,Tortuga,1,,,Pandora, Audio,2,.5
2018-03-10T02:29:16-05:00,Steps,12130,,,,Health,5,1.73285714285714285714285714285714285714
2018-03-10T02:42:33-05:00,Fiction,1,,,OverDrive, Audio,6,.5
2018-03-10T11:58:07-05:00,Sleep,9,,hrs,,Health,6,1.28571428571428571428571428571428571428
2018-03-10T12:48:11-05:00,Weight,139.8,,lb,,Health,4,2.4
2018-03-10T12:48:33-05:00,Butter, 1,,,,Nutrition,3,0.5
2018-03-10T12:48:42-05:00,Caffeine,180,,mg,,Health,2,1.3333333333333333333333333333333333333
2018-03-10T14:13:21-05:00,Nonfiction,1,,,OverDrive, Audio,7,.5
2018-03-10T16:00:56-05:00,Meal, 1,,,,Nutrition,1,0.5
2018-03-10T20:26:04-05:00,Snack, 1,,,,Nutrition,2,0.5
2018-03-11T15:00:14-04:00,Meal, 1,,,,Nutrition,1,0.5
2018-03-12T03:43:36-04:00,Fiction,1,,,OverDrive, Audio,6,.5
2018-03-12T12:57:28-04:00,Weight,140.4,,lb,,Health,4,2.7
2018-03-12T13:04:43-04:00,Podcast,1,,,Podcasts, Audio,5,.5
2018-03-12T15:20:28-04:00,Butter, 1,,,,Nutrition,3,0.5
2018-03-12T15:20:41-04:00,Caffeine,180,,mg,,Health,2,1.3333333333333333333333333333333333333
2018-03-12T15:20:48-04:00,Butter, 1,,,,Nutrition,3,0.5
2018-03-12T15:20:57-04:00,Caffeine,180,,mg,,Health,2,1.3333333333333333333333333333333333333
2018-03-12T21:38:34-04:00,Water,20,,ounces,,Health,1,1
2018-03-12T21:42:19-04:00,Podcast,1,,,Podcasts, Audio,5,.5
2018-03-13T03:59:25-04:00,Steps,9576,,,,Health,5,1.368
2018-03-13T12:19:57-04:00,Water,20,,ounces,,Health,1,1
2018-03-13T14:15:26-04:00,Butter, 1,,,,Nutrition,3,0.5
